AStd,AAlt,BStd,BAlt
106.27,39.55,100.3,75.86
106.29,38.99,100.3,75.86
106.33,39.04,100.3,75.86
106.35,39.51,100.3,75.86
106.37,40.1,100.3,75.86
106.39,40.56,100.3,75.86
106.39,40.71,100.31,75.9
106.43,40.89,100.31,75.4
106.44,40.73,100.31,75.29
106.45,41.47,100.31,74.79
106.48,40.87,100.32,74.96
106.49,40.31,100.33,74.94
106.54,39.89,100.33,74.94
106.61,38.93,100.33,75.21
106.64,39.32,100.33,75.19
106.67,39.61,100.4,74.49
106.7,40.26,100.4,74.49
106.77,40.99,100.41,74.56
106.79,40.67,100.68,74.56
106.8,41.3,100.68,75.05
106.85,41.56,100.7,75.18
106.87,41.81,100.7,75.18
106.93,41.16,100.7,75.18
106.94,41.4,100.71,75.2
106.95,41.59,100.88,75.4
107.03,42.03,100.88,75.4
107.06,41.71,100.89,75.3
107.14,41.93,100.89,75.3
107.16,42.13,100.9,75.02
107.3,43.21,101.01,74.58
107.32,43.22,101.01,74.58
107.32,43.22,101.01,74.58
107.36,42.85,101.01,74.58
107.4,43.78,101.02,74.58
107.42,43.78,101.02,74.58
107.42,43.78,101.09,74.57
107.44,43.37,101.09,74.56
107.49,43.26,101.09,74.33
107.49,43.26,101.09,74.33
107.5,43.13,101.09,74.33
107.53,43.08,101.1,74.33
107.62,42.86,101.1,74.33
107.66,42.68,101.1,74.33
107.66,42.68,101.13,74.89
107.66,42.68,101.15,74.63
107.68,42.3,101.15,74.84
107.71,42.26,101.15,74.84
107.74,41.81,101.17,74.88
107.74,41.42,101.17,74.88
107.74,41.35,101.19,74.9
107.81,41.51,101.21,74.97
107.82,41.72,101.22,75.49
107.85,41.14,101.23,75.41
107.87,40.78,101.23,75.56
107.92,40.48,101.23,75.56
107.93,40.59,101.24,75.57
108.0,40.83,101.25,75.58
108.0,40.76,101.25,75.58
108.0,40.76,101.25,75.58
108.01,40.73,101.25,75.58
108.04,40.67,101.26,75.6
108.08,40.49,101.26,75.6
108.09,40.56,101.27,75.61
108.13,40.73,101.27,75.61
108.14,40.75,101.27,75.61
108.16,40.31,101.27,75.61
108.16,40.31,101.27,75.6
108.22,41.26,101.27,75.6
108.23,41.09,101.27,75.6
108.27,41.2,101.27,75.6
108.27,41.04,101.27,75.6
108.31,40.98,101.29,75.64
108.35,41.19,101.29,75.64
108.36,41.23,101.29,75.66
108.39,41.73,101.29,75.66
108.39,41.73,101.29,75.66
108.39,41.73,101.29,75.66
108.39,41.73,101.31,75.89
108.4,41.55,101.31,76.57
108.4,41.51,101.31,76.57
108.41,41.32,101.31,76.44
108.43,41.45,101.37,76.79
108.46,41.85,101.37,76.79
108.47,41.7,101.39,77.28
108.47,41.7,101.39,77.28
108.47,42.27,101.39,77.28
108.49,42.51,101.39,77.26
108.49,42.61,101.39,77.26
108.52,43.13,101.39,77.26
108.54,42.79,101.44,77.96
108.61,42.75,101.51,78.42
108.61,42.75,101.57,78.48
108.64,43.26,101.57,78.48
108.64,43.26,101.59,78.48
108.66,43.12,101.6,78.49
108.68,43.81,101.6,78.49
108.68,43.81,101.62,79.1
108.68,43.81,101.62,79.39
108.73,43.51,101.63,79.27
108.74,43.88,101.63,79.27
108.74,43.88,101.63,79.24
108.77,44.13,101.64,79.24
