A0,A10,A20,A30,A40,A50,A60,A70,A80,A90,A100,B0,B10,B20,B30,B40,B50,B60,B70,B80,B90,B100,round
101.18,102.04,102.52,102.64,102.92,103.2,103.48,103.91,104.41,105.19,106.87,22.07,66.93,74.72,82.56,86.23,90.41,96.87,99.99,101.02,101.48,102.72,370
101.18,102.04,102.52,102.64,102.92,103.2,103.48,104.06,104.44,105.19,106.87,22.07,68.77,77.38,83.8,88.03,93.2,97.7,100.51,101.03,101.76,102.72,380
101.18,102.05,102.52,102.73,102.96,103.21,103.51,104.08,104.44,105.19,106.87,22.07,71.96,79.68,84.16,89.27,94.32,98.17,100.69,101.09,101.9,102.72,390
101.18,102.06,102.53,102.75,103.05,103.25,103.57,104.15,104.45,105.24,106.87,22.07,71.96,81.16,84.17,89.9,95.22,98.88,100.96,101.23,102.01,103.24,400
101.18,102.06,102.55,102.8,103.06,103.25,103.57,104.17,104.47,105.25,106.87,22.07,71.96,81.16,84.5,89.9,95.22,98.88,100.96,101.24,102.01,103.24,410
101.34,102.06,102.56,102.8,103.06,103.29,103.66,104.22,104.47,105.25,106.87,41.46,71.96,82.43,86.43,90.06,95.27,98.88,100.96,101.24,102.01,103.24,420
101.54,102.09,102.56,102.8,103.06,103.29,103.66,104.22,104.47,105.25,106.87,41.46,72.1,83.83,86.9,91.38,95.93,99.0,100.96,101.24,102.01,103.24,430
101.54,102.09,102.56,102.8,103.06,103.29,103.66,104.22,104.47,105.25,106.87,41.46,72.1,84.09,87.37,92.01,95.98,99.0,100.96,101.24,102.01,103.92,440
101.54,102.14,102.6,102.8,103.14,103.45,103.77,104.25,104.48,105.27,106.87,41.46,72.1,84.17,88.89,93.02,96.23,99.54,100.96,101.24,102.01,103.92,450
101.54,102.14,102.63,102.85,103.14,103.45,103.83,104.26,104.52,105.52,106.87,41.46,72.1,84.17,89.24,93.89,97.18,100.51,100.98,101.24,102.01,103.92,460
101.54,102.14,102.64,102.89,103.16,103.48,103.91,104.31,104.67,105.52,106.87,41.46,73.36,84.5,89.9,94.23,97.54,100.62,101.0,101.27,102.01,103.92,470
101.54,102.16,102.66,102.92,103.2,103.48,103.91,104.31,104.67,105.54,106.87,41.46,73.6,85.15,90.31,94.32,97.7,100.63,101.02,101.27,102.01,103.92,480
101.79,102.25,102.66,102.92,103.2,103.48,103.91,104.31,104.67,105.54,106.87,41.46,73.6,85.89,91.15,94.61,97.7,100.63,101.02,101.27,102.01,103.92,490
101.79,102.25,102.73,102.96,103.22,103.57,104.08,104.31,104.76,105.54,106.87,41.46,73.6,86.23,91.38,94.67,98.17,100.67,101.03,101.27,102.01,103.92,500
101.79,102.27,102.77,103.0,103.25,103.58,104.12,104.34,104.77,105.59,106.87,41.46,73.6,86.72,91.69,95.93,99.49,100.82,101.07,101.4,102.01,103.92,510
101.79,102.27,102.8,103.0,103.25,103.58,104.12,104.34,104.77,105.59,106.87,41.46,73.6,86.72,91.69,96.31,99.59,100.83,101.07,101.4,102.01,103.92,520
101.79,102.47,102.8,103.05,103.29,103.6,104.12,104.41,104.89,105.79,106.87,41.46,79.68,86.72,92.04,96.31,99.59,100.83,101.07,101.4,102.01,103.92,530
101.79,102.51,102.8,103.08,103.3,103.66,104.12,104.42,104.9,105.79,106.87,41.46,80.34,88.03,93.02,96.35,99.86,100.9,101.09,101.4,102.01,103.92,540
101.79,102.55,102.8,103.08,103.3,103.66,104.12,104.42,104.9,105.99,106.87,57.5,80.34,88.03,93.02,96.35,100.27,100.96,101.09,101.4,102.01,103.92,550
101.98,102.59,102.95,103.16,103.37,103.66,104.12,104.42,104.93,105.99,106.87,57.5,80.34,88.89,93.36,97.7,100.62,100.96,101.13,101.5,102.01,103.92,560
101.98,102.63,102.95,103.16,103.37,103.73,104.12,104.47,104.93,106.07,106.88,57.5,80.34,88.89,93.36,97.7,100.62,100.96,101.13,101.5,102.01,103.92,570
101.98,102.63,102.95,103.16,103.38,103.73,104.12,104.47,104.93,106.07,106.88,57.5,80.34,88.89,93.36,97.7,100.67,101.0,101.23,101.5,102.01,103.92,580
101.98,102.63,102.95,103.19,103.45,103.78,104.15,104.48,104.93,106.07,106.88,57.5,81.16,89.24,93.78,97.7,100.67,101.0,101.24,101.5,102.01,103.92,590
101.98,102.66,102.97,103.21,103.46,103.8,104.15,104.52,104.93,106.07,106.88,57.5,81.16,89.27,94.17,97.93,100.67,101.02,101.24,101.53,102.01,103.92,600
101.98,102.66,102.97,103.22,103.48,103.8,104.15,104.52,105.11,106.08,106.88,57.5,81.16,89.27,94.61,98.12,100.68,101.06,101.28,101.53,102.01,103.92,610
101.98,102.66,102.97,103.22,103.48,103.8,104.19,104.55,105.11,106.08,106.88,57.5,81.16,90.06,94.67,98.39,100.78,101.07,101.3,101.55,102.03,103.92,620
101.98,102.66,102.98,103.22,103.48,103.8,104.19,104.55,105.11,106.08,106.88,57.5,81.16,90.06,94.67,98.39,100.83,101.08,101.3,101.55,102.03,103.92,630
101.98,102.66,103.0,103.25,103.51,103.83,104.2,104.63,105.19,106.13,106.88,57.5,81.16,90.06,94.67,99.49,100.83,101.08,101.3,101.55,102.03,103.92,640
101.98,102.66,103.06,103.29,103.56,103.88,104.22,104.63,105.19,106.13,106.88,57.5,81.16,90.06,94.67,99.59,100.9,101.09,101.34,101.55,102.04,103.92,650
101.98,102.66,103.06,103.29,103.57,103.91,104.22,104.63,105.24,106.13,106.88,57.5,81.4,90.31,94.77,99.68,100.9,101.09,101.34,101.55,102.04,103.92,660
101.98,102.67,103.09,103.37,103.58,104.03,104.25,104.66,105.24,106.13,106.88,57.5,81.4,90.31,94.77,99.68,100.9,101.09,101.34,101.63,102.11,103.92,670
101.98,102.67,103.09,103.37,103.58,104.03,104.26,104.66,105.24,106.13,106.88,57.5,81.4,90.31,94.77,100.08,100.9,101.09,101.34,101.63,102.11,103.92,680
101.98,102.67,103.16,103.37,103.6,104.06,104.27,104.77,105.24,106.13,106.88,57.5,82.98,91.15,96.79,100.61,100.92,101.09,101.34,101.63,102.11,103.92,690
101.98,102.73,103.17,103.45,103.7,104.07,104.34,104.77,105.24,106.13,106.88,57.5,82.98,91.15,96.79,100.61,100.92,101.09,101.34,101.67,102.11,103.92,700
101.98,102.73,103.17,103.45,103.73,104.07,104.34,104.77,105.24,106.13,106.88,57.5,84.09,91.38,97.29,100.61,100.96,101.11,101.36,101.67,102.11,103.92,710
101.98,102.78,103.18,103.45,103.73,104.07,104.34,104.77,105.25,106.16,106.88,57.5,84.09,91.38,97.29,100.61,100.96,101.19,101.39,101.69,102.13,103.92,720
101.98,102.78,103.18,103.45,103.74,104.1,104.35,104.8,105.3,106.16,106.88,57.5,84.09,91.38,97.29,100.61,100.96,101.19,101.39,101.69,102.13,103.92,730
101.98,102.78,103.18,103.45,103.74,104.1,104.35,104.8,105.3,106.16,106.88,57.5,85.02,91.66,97.58,100.61,100.96,101.19,101.4,101.7,102.13,103.92,740
101.98,102.78,103.19,103.45,103.74,104.11,104.35,104.82,105.3,106.16,106.88,57.5,85.89,91.66,97.93,100.62,100.97,101.19,101.4,101.7,102.13,103.92,750
101.98,102.78,103.19,103.45,103.74,104.11,104.35,104.82,105.34,106.17,106.88,59.75,85.89,92.04,97.93,100.62,100.97,101.19,101.49,101.72,102.13,103.92,760
101.98,102.8,103.22,103.46,103.8,104.11,104.35,104.82,105.34,106.17,107.54,59.75,85.89,92.18,98.12,100.62,101.02,101.23,101.49,101.72,102.13,103.92,770
101.98,102.81,103.22,103.48,103.8,104.11,104.35,104.82,105.54,106.19,107.54,59.75,86.04,93.2,99.05,100.62,101.02,101.23,101.49,101.72,102.13,103.92,780
101.98,102.81,103.25,103.53,103.8,104.12,104.36,104.89,105.54,106.19,107.54,59.75,86.04,93.2,99.05,100.62,101.02,101.23,101.49,101.72,102.13,103.92,790
101.98,102.81,103.25,103.53,103.8,104.12,104.36,104.89,105.54,106.19,107.54,59.75,86.04,93.2,99.05,100.62,101.02,101.24,101.5,101.72,102.13,103.92,800
