A0,A10,A20,A30,A40,A50,A60,A70,A80,A90,A100,B0,B10,B20,B30,B40,B50,B60,B70,B80,B90,B100,round
102.74,103.65,104.03,104.35,104.73,105.01,105.24,105.78,106.18,106.76,113.14,59.98,96.4,100.7,101.08,101.3,101.5,101.73,102.01,102.25,102.66,104.35,1540
102.74,103.67,104.1,104.35,104.77,105.02,105.24,105.78,106.18,106.87,113.14,59.98,96.4,100.7,101.08,101.3,101.5,101.73,102.01,102.25,102.66,104.35,1550
102.74,103.73,104.11,104.4,104.79,105.03,105.24,105.78,106.18,106.87,113.14,59.98,96.4,100.7,101.08,101.3,101.54,101.85,102.03,102.25,102.66,104.35,1560
102.74,103.73,104.15,104.41,104.79,105.03,105.24,105.78,106.19,106.87,113.14,59.98,96.4,100.7,101.09,101.31,101.55,101.85,102.04,102.27,102.66,104.35,1570
102.74,103.73,104.15,104.41,104.79,105.03,105.24,105.78,106.19,106.87,113.14,59.98,96.4,100.7,101.09,101.31,101.55,101.85,102.04,102.27,102.66,104.35,1580
102.74,103.73,104.16,104.42,104.8,105.1,105.28,105.79,106.19,106.87,113.14,59.98,96.4,100.7,101.09,101.31,101.58,101.86,102.04,102.27,102.66,104.35,1590
102.74,103.73,104.16,104.42,104.8,105.11,105.34,105.99,106.24,106.87,113.14,59.98,96.4,100.7,101.09,101.31,101.58,101.86,102.04,102.27,102.66,104.35,1600
102.74,103.73,104.16,104.42,104.8,105.11,105.34,105.99,106.24,106.87,113.14,59.98,96.4,100.71,101.09,101.31,101.58,101.86,102.04,102.27,102.66,104.35,1610
102.74,103.73,104.17,104.42,104.8,105.12,105.49,106.01,106.28,106.87,113.14,59.98,96.4,100.71,101.09,101.31,101.59,101.86,102.11,102.27,102.79,104.35,1620
102.74,103.73,104.17,104.42,104.8,105.12,105.54,106.06,106.28,106.87,113.14,59.98,96.4,100.71,101.09,101.31,101.59,101.86,102.13,102.28,102.84,104.35,1630
102.74,103.73,104.17,104.42,104.8,105.12,105.54,106.06,106.28,106.87,113.14,59.98,96.4,100.71,101.09,101.31,101.59,101.86,102.13,102.28,102.84,104.35,1640
102.74,103.73,104.17,104.42,104.8,105.12,105.54,106.06,106.28,106.87,113.14,59.98,96.4,100.71,101.1,101.34,101.63,101.86,102.13,102.28,102.84,104.35,1650
102.74,103.73,104.17,104.42,104.8,105.12,105.54,106.06,106.34,106.88,113.14,59.98,96.4,100.71,101.1,101.34,101.63,101.86,102.13,102.28,102.84,104.48,1660
102.74,103.73,104.2,104.42,104.8,105.12,105.54,106.06,106.34,106.88,113.14,59.98,96.4,100.71,101.1,101.34,101.63,101.86,102.13,102.28,102.84,104.48,1670
102.74,103.73,104.22,104.42,104.84,105.13,105.54,106.06,106.34,106.92,113.14,59.98,96.4,100.71,101.11,101.34,101.63,101.86,102.13,102.28,102.84,104.48,1680
102.74,103.73,104.22,104.42,104.84,105.13,105.54,106.06,106.45,107.31,113.14,59.98,96.4,100.71,101.11,101.34,101.63,101.86,102.13,102.28,102.84,104.48,1690
102.74,103.73,104.22,104.42,104.84,105.13,105.54,106.06,106.45,107.31,113.14,59.98,96.4,100.71,101.11,101.34,101.63,101.86,102.13,102.28,102.84,104.48,1700
102.74,103.76,104.33,104.53,104.89,105.15,105.57,106.07,106.52,107.31,113.14,59.98,96.4,100.71,101.11,101.34,101.63,101.86,102.13,102.28,102.84,104.48,1710
102.74,103.76,104.34,104.55,105.01,105.18,105.69,106.15,106.52,107.31,113.14,59.98,96.4,100.71,101.11,101.34,101.63,101.86,102.14,102.29,102.84,104.48,1720
102.74,103.76,104.34,104.55,105.01,105.19,105.75,106.17,106.54,107.31,113.14,59.98,96.4,100.71,101.11,101.34,101.63,101.86,102.14,102.29,102.84,104.48,1730
102.74,103.76,104.35,104.66,105.03,105.24,105.78,106.19,106.54,107.36,113.14,59.98,96.4,100.71,101.11,101.34,101.63,101.89,102.14,102.29,102.84,104.48,1740
102.74,103.86,104.35,104.77,105.11,105.54,105.94,106.24,106.64,107.67,113.14,59.98,96.4,100.71,101.12,101.36,101.64,101.91,102.14,102.29,103.14,104.48,1750
102.74,103.86,104.35,104.77,105.11,105.55,106.01,106.3,106.7,107.73,113.14,59.98,96.4,100.71,101.12,101.36,101.64,101.91,102.14,102.29,103.14,104.48,1760
102.74,103.86,104.35,104.77,105.11,105.55,106.01,106.3,106.7,107.73,113.14,59.98,96.4,100.71,101.2,101.37,101.69,101.91,102.16,102.3,103.14,104.48,1770
102.74,103.86,104.41,104.79,105.13,105.55,106.01,106.3,106.7,108.19,113.14,59.98,96.4,100.71,101.2,101.37,101.69,101.91,102.16,102.3,103.14,104.48,1780
102.74,103.86,104.41,104.8,105.15,105.57,106.06,106.3,106.75,108.34,113.14,59.98,96.4,100.71,101.2,101.37,101.69,101.91,102.16,102.3,103.14,104.48,1790
102.74,103.86,104.41,104.8,105.15,105.57,106.06,106.34,106.76,108.38,113.14,59.98,96.4,100.71,101.2,101.37,101.69,101.91,102.16,102.3,103.14,104.48,1800
102.74,103.86,104.41,104.8,105.15,105.57,106.06,106.34,106.76,108.38,113.14,59.98,96.4,100.71,101.2,101.37,101.69,101.91,102.16,102.3,103.14,104.48,1810
102.74,103.86,104.41,104.8,105.15,105.57,106.12,106.42,106.88,108.38,113.14,59.98,96.4,100.71,101.2,101.37,101.69,101.91,102.16,102.3,103.14,104.48,1820
102.74,103.86,104.41,104.8,105.15,105.65,106.13,106.52,106.93,108.38,113.14,59.98,96.79,100.71,101.2,101.37,101.69,101.91,102.16,102.3,103.14,104.48,1830
102.74,103.86,104.41,104.84,105.17,105.69,106.15,106.54,107.04,108.4,113.14,59.98,96.79,100.71,101.23,101.43,101.7,101.92,102.16,102.3,103.14,104.48,1840
102.74,103.86,104.41,104.84,105.17,105.69,106.15,106.54,107.04,108.41,113.14,59.98,96.79,100.71,101.23,101.43,101.7,101.92,102.16,102.3,103.14,104.48,1850
102.74,104.1,104.42,104.92,105.2,105.79,106.21,106.64,107.32,108.72,113.14,59.98,96.79,100.71,101.23,101.43,101.7,101.92,102.16,102.3,103.14,104.48,1860
102.74,104.1,104.42,104.92,105.2,105.79,106.21,106.64,107.54,108.72,113.14,59.98,96.79,100.71,101.23,101.43,101.7,101.92,102.16,102.3,103.14,104.48,1870
102.74,104.1,104.42,104.92,105.2,105.79,106.22,106.64,107.67,108.72,113.14,59.98,96.79,100.71,101.23,101.43,101.7,101.92,102.16,102.3,103.14,104.48,1880
102.74,104.1,104.42,105.01,105.2,105.79,106.22,106.64,107.88,108.86,113.42,59.98,96.79,100.71,101.23,101.43,101.7,101.92,102.16,102.3,103.14,104.48,1890
102.74,104.1,104.42,105.01,105.2,105.94,106.24,106.7,108.1,108.86,113.42,59.98,96.79,100.77,101.23,101.43,101.7,101.92,102.16,102.33,103.14,104.48,1900
102.74,104.1,104.42,105.01,105.2,105.94,106.24,106.7,108.1,108.86,113.42,59.98,96.9,100.83,101.24,101.47,101.7,101.95,102.17,102.34,103.17,106.38,1910
102.74,104.1,104.53,105.01,105.2,105.94,106.24,106.7,108.1,109.29,113.42,59.98,96.9,100.83,101.24,101.47,101.7,101.95,102.17,102.34,103.17,106.38,1920
102.74,104.1,104.53,105.01,105.2,105.94,106.24,106.7,108.1,109.29,113.42,59.98,96.9,100.83,101.24,101.47,101.7,101.95,102.17,102.34,103.18,106.38,1930
102.74,104.1,104.53,105.01,105.2,105.94,106.24,106.7,108.1,109.29,113.42,59.98,96.9,100.83,101.24,101.47,101.7,101.95,102.17,102.34,103.18,106.38,1940
102.74,104.1,104.53,105.02,105.24,106.01,106.28,106.77,108.16,109.29,113.42,59.98,96.9,100.83,101.24,101.47,101.7,101.95,102.17,102.4,103.18,106.38,1950
102.74,104.1,104.53,105.02,105.24,106.06,106.3,106.87,108.16,109.29,113.42,59.98,96.9,100.83,101.24,101.47,101.7,101.95,102.17,102.4,103.18,106.38,1960
102.74,104.1,104.53,105.02,105.24,106.06,106.3,106.88,108.27,109.3,113.42,59.98,96.9,100.83,101.24,101.47,101.7,101.95,102.17,102.4,103.18,106.38,1970
102.74,104.1,104.53,105.02,105.24,106.06,106.3,106.88,108.27,109.3,113.42,59.98,96.9,100.83,101.24,101.47,101.7,101.95,102.17,102.4,103.18,106.38,1980
102.74,104.1,104.53,105.02,105.24,106.06,106.3,106.88,108.28,109.31,113.42,59.98,96.9,100.83,101.24,101.47,101.7,101.95,102.17,102.4,103.18,106.38,1990
102.74,104.1,104.55,105.03,105.32,106.07,106.36,106.92,108.28,109.31,113.42,59.98,96.9,100.83,101.24,101.47,101.7,101.95,102.17,102.4,103.18,106.38,2000
102.74,104.1,104.55,105.09,105.57,106.12,106.42,106.93,108.28,109.31,113.42,59.98,96.9,100.83,101.24,101.47,101.7,101.95,102.17,102.4,103.18,106.38,2010
102.74,104.1,104.63,105.1,105.58,106.16,106.42,106.93,108.28,109.31,113.42,59.98,96.9,100.83,101.24,101.47,101.7,101.95,102.17,102.4,103.18,106.38,2020
102.74,104.1,104.63,105.11,105.65,106.16,106.42,106.93,108.34,109.31,113.42,59.98,96.9,100.83,101.24,101.47,101.7,101.95,102.17,102.4,103.18,106.38,2030
102.74,104.1,104.63,105.11,105.65,106.16,106.45,106.93,108.34,109.31,113.42,59.98,96.9,100.83,101.24,101.47,101.7,101.95,102.17,102.47,103.18,106.38,2040
102.74,104.15,104.77,105.15,105.69,106.2,106.52,106.93,108.34,109.31,113.42,59.98,96.9,100.83,101.24,101.5,101.71,101.95,102.17,102.47,103.18,106.38,2050
102.74,104.15,104.77,105.15,105.69,106.2,106.54,107.01,108.34,109.31,113.42,59.98,96.9,100.83,101.24,101.5,101.71,101.95,102.17,102.47,103.18,106.38,2060
102.74,104.15,104.77,105.15,105.69,106.2,106.54,107.14,108.34,109.31,113.42,59.98,96.9,100.83,101.24,101.5,101.71,101.95,102.17,102.47,103.18,106.38,2070
102.74,104.15,104.77,105.15,105.69,106.21,106.54,107.14,108.38,109.58,113.42,59.98,96.9,100.87,101.27,101.5,101.72,101.96,102.17,102.47,103.18,106.38,2080
102.74,104.15,104.77,105.15,105.69,106.21,106.54,107.14,108.38,109.62,113.42,59.98,96.9,100.87,101.27,101.5,101.72,101.96,102.17,102.47,103.29,106.38,2090
102.74,104.15,104.77,105.15,105.69,106.21,106.63,107.32,108.4,109.67,113.42,59.98,96.9,100.87,101.27,101.5,101.72,101.96,102.17,102.47,103.29,106.38,2100
102.74,104.16,104.77,105.17,105.79,106.24,106.7,107.67,108.51,109.8,113.42,59.98,96.9,100.87,101.27,101.5,101.72,101.96,102.17,102.47,103.29,106.38,2110
102.74,104.2,104.79,105.18,105.79,106.28,106.76,107.67,108.51,109.8,113.42,59.98,96.9,100.87,101.27,101.5,101.72,101.96,102.17,102.47,103.29,106.38,2120
102.74,104.2,104.79,105.18,105.85,106.3,106.77,107.74,108.51,109.8,113.42,59.98,98.32,100.87,101.27,101.5,101.72,101.97,102.2,102.5,103.36,106.38,2130
102.74,104.2,104.79,105.18,105.87,106.3,106.87,107.99,108.56,109.8,113.42,59.98,98.32,100.87,101.27,101.5,101.73,101.97,102.23,102.5,103.36,106.38,2140
102.74,104.2,104.79,105.2,105.94,106.34,106.88,108.06,108.78,110.26,113.42,59.98,98.32,100.88,101.29,101.53,101.73,101.97,102.23,102.5,103.36,106.38,2150
102.74,104.2,104.8,105.24,105.94,106.34,106.88,108.06,108.78,110.26,113.42,59.98,99.67,100.97,101.29,101.53,101.73,101.97,102.23,102.5,103.36,106.38,2160
102.74,104.2,104.8,105.24,105.94,106.34,106.88,108.06,108.78,110.26,113.42,59.98,99.67,100.97,101.29,101.53,101.76,101.97,102.23,102.51,103.36,106.38,2170
102.74,104.2,104.8,105.28,106.13,106.34,106.92,108.22,108.89,110.26,113.42,59.98,99.67,100.97,101.29,101.53,101.76,101.98,102.25,102.51,103.36,107.4,2180
102.74,104.23,104.8,105.35,106.13,106.34,106.92,108.33,108.99,110.26,113.42,59.98,99.67,100.97,101.29,101.53,101.76,101.98,102.25,102.51,103.36,107.4,2190
102.74,104.23,104.8,105.35,106.2,106.54,107.14,108.38,109.16,110.26,113.42,59.98,99.67,100.97,101.29,101.53,101.76,101.98,102.25,102.51,103.36,107.4,2200
102.74,104.23,104.8,105.35,106.2,106.54,107.32,108.42,109.16,110.26,113.42,59.98,99.67,101.02,101.3,101.55,101.76,101.98,102.25,102.51,103.36,107.4,2210
102.74,104.32,104.84,105.35,106.2,106.54,107.32,108.42,109.16,110.26,113.42,59.98,100.16,101.07,101.31,101.55,101.82,102.03,102.25,102.54,103.37,107.4,2220
102.74,104.32,104.84,105.35,106.21,106.64,107.39,108.51,109.29,110.32,113.42,59.98,100.16,101.07,101.31,101.55,101.82,102.03,102.25,102.54,103.37,107.4,2230
102.74,104.32,104.84,105.35,106.22,106.64,107.46,108.51,109.3,110.53,113.42,59.98,100.16,101.07,101.31,101.55,101.82,102.03,102.25,102.54,103.37,107.4,2240
102.74,104.32,104.84,105.35,106.22,106.64,107.67,108.65,109.39,110.73,113.67,59.98,100.16,101.07,101.31,101.55,101.82,102.03,102.25,102.54,103.37,107.4,2250
102.74,104.32,104.84,105.35,106.22,106.64,107.87,108.72,109.39,110.73,113.67,59.98,100.16,101.08,101.31,101.55,101.85,102.04,102.28,102.57,103.37,107.4,2260
102.74,104.32,104.84,105.35,106.23,106.64,107.94,108.78,109.67,110.86,118.91,59.98,100.52,101.09,101.31,101.55,101.85,102.04,102.28,102.63,103.37,107.4,2270
102.74,104.32,104.84,105.35,106.23,106.64,107.94,108.8,109.67,110.86,118.91,59.98,100.52,101.09,101.31,101.55,101.85,102.04,102.28,102.63,103.37,107.4,2280
102.74,104.32,104.84,105.35,106.23,106.64,107.94,108.8,109.67,110.86,118.91,59.98,100.52,101.09,101.31,101.55,101.85,102.04,102.28,102.63,103.37,107.4,2290
102.74,104.32,104.84,105.35,106.23,106.64,107.94,108.81,109.8,110.95,118.91,59.98,100.52,101.09,101.31,101.55,101.85,102.04,102.28,102.63,103.37,107.4,2300
102.74,104.32,104.93,105.42,106.24,106.7,107.99,108.83,109.8,110.95,118.91,59.98,100.61,101.09,101.31,101.55,101.85,102.04,102.28,102.63,103.37,107.4,2310
102.74,104.32,104.93,105.42,106.24,106.7,107.99,108.83,109.88,110.95,118.91,59.98,100.61,101.09,101.31,101.55,101.85,102.04,102.28,102.63,103.37,107.4,2320
102.74,104.32,104.93,105.42,106.24,106.7,107.99,108.83,109.88,110.95,118.91,59.98,100.67,101.09,101.34,101.55,101.85,102.04,102.28,102.63,103.37,107.4,2330
102.74,104.32,104.98,105.55,106.24,106.76,107.99,108.83,109.9,110.95,118.91,59.98,100.67,101.09,101.37,101.55,101.85,102.04,102.28,102.63,103.37,107.4,2340
102.74,104.32,104.98,105.55,106.28,106.86,108.1,108.99,110.01,110.95,118.91,59.98,100.67,101.09,101.37,101.55,101.85,102.04,102.28,102.63,103.37,107.4,2350
102.74,104.32,104.98,105.55,106.28,106.86,108.1,108.99,110.01,110.95,118.91,59.98,100.67,101.09,101.37,101.55,101.85,102.04,102.28,102.63,103.37,107.4,2360
102.74,104.32,104.98,105.55,106.3,106.88,108.1,108.99,110.01,110.95,118.91,59.98,100.67,101.09,101.37,101.55,101.85,102.04,102.28,102.63,103.37,107.4,2370
102.74,104.32,104.98,105.55,106.34,107.14,108.33,109.16,110.01,110.95,118.91,59.98,100.67,101.09,101.37,101.55,101.85,102.11,102.29,102.64,103.37,107.4,2380
102.74,104.32,104.98,105.55,106.34,107.32,108.38,109.29,110.17,111.08,118.91,59.98,100.67,101.09,101.37,101.55,101.85,102.11,102.29,102.64,103.37,107.4,2390
102.74,104.34,104.98,105.55,106.34,107.36,108.42,109.3,110.17,111.08,118.91,59.98,100.67,101.09,101.37,101.55,101.85,102.11,102.29,102.64,103.37,107.4,2400
102.74,104.34,104.98,105.55,106.34,107.36,108.42,109.3,110.17,111.08,118.91,59.98,100.67,101.09,101.37,101.58,101.86,102.11,102.3,102.65,103.4,107.4,2410
102.74,104.34,104.98,105.55,106.34,107.36,108.42,109.3,110.17,111.08,118.91,59.98,100.67,101.09,101.37,101.58,101.86,102.13,102.33,102.65,103.4,108.16,2420
102.74,104.34,104.98,105.55,106.34,107.36,108.42,109.39,110.19,111.21,118.91,59.98,100.67,101.09,101.37,101.59,101.86,102.13,102.33,102.65,103.4,108.16,2430
102.74,104.34,104.98,105.55,106.34,107.36,108.42,109.39,110.25,111.59,118.91,59.98,100.67,101.09,101.37,101.59,101.86,102.13,102.33,102.65,103.4,108.16,2440
102.74,104.34,105.02,105.58,106.34,107.39,108.42,109.39,110.25,111.59,118.91,59.98,100.67,101.09,101.37,101.59,101.86,102.13,102.33,102.65,103.4,108.16,2450
102.74,104.35,105.02,105.58,106.34,107.39,108.42,109.39,110.25,111.59,118.91,59.98,100.67,101.09,101.37,101.59,101.86,102.13,102.33,102.65,103.4,108.16,2460
102.74,104.35,105.02,105.58,106.34,107.39,108.42,109.39,110.26,111.59,118.91,59.98,100.67,101.09,101.37,101.63,101.86,102.13,102.35,102.66,103.4,108.16,2470
102.74,104.35,105.03,105.73,106.42,107.58,108.43,109.43,110.41,111.74,118.91,59.98,100.67,101.15,101.38,101.63,101.87,102.14,102.4,102.71,103.4,108.16,2480
102.74,104.35,105.03,105.73,106.42,107.58,108.43,109.43,110.52,111.74,118.91,59.98,100.67,101.15,101.38,101.63,101.87,102.14,102.4,102.73,103.47,108.16,2490
102.74,104.35,105.03,105.73,106.42,107.58,108.43,109.43,110.53,112.23,118.91,59.98,100.67,101.15,101.38,101.64,101.91,102.14,102.4,102.73,103.47,108.16,2500
102.74,104.35,105.03,105.73,106.42,107.58,108.43,109.58,110.67,112.23,118.91,59.98,100.67,101.15,101.43,101.64,101.91,102.14,102.48,102.73,103.47,108.16,2510
102.74,104.35,105.03,105.73,106.42,107.66,108.69,109.67,110.67,112.23,118.91,59.98,100.67,101.15,101.43,101.64,101.91,102.14,102.48,102.73,103.47,108.16,2520
102.74,104.35,105.03,105.73,106.53,107.66,108.69,109.67,110.67,112.23,118.91,59.98,100.67,101.15,101.43,101.64,101.91,102.16,102.48,102.73,103.47,108.16,2530
102.74,104.35,105.03,105.94,106.54,107.87,108.72,109.67,110.73,112.39,118.91,59.98,100.67,101.15,101.43,101.7,101.95,102.2,102.48,102.73,103.47,108.16,2540
102.74,104.35,105.11,105.94,106.54,107.87,108.72,109.67,110.73,112.39,118.91,59.98,100.67,101.15,101.43,101.7,101.95,102.2,102.48,102.73,103.47,108.16,2550
102.74,104.35,105.11,105.94,106.54,107.87,108.72,109.67,110.73,112.39,118.91,59.98,100.67,101.15,101.43,101.7,101.95,102.2,102.48,102.73,103.47,108.16,2560
102.74,104.35,105.11,105.94,106.54,107.87,108.72,109.8,110.81,112.39,118.91,59.98,100.67,101.15,101.43,101.7,101.95,102.2,102.48,102.73,103.47,108.16,2570
102.74,104.35,105.15,106.03,106.63,107.87,108.72,109.8,110.81,112.39,118.91,59.98,100.67,101.15,101.43,101.7,101.95,102.2,102.48,102.73,103.47,108.16,2580
102.74,104.35,105.17,106.15,106.69,107.94,108.78,109.88,110.81,112.39,118.91,59.98,100.67,101.15,101.43,101.7,101.95,102.2,102.48,102.73,103.47,108.16,2590
102.74,104.35,105.17,106.15,106.69,107.94,108.78,109.88,110.86,112.39,118.91,59.98,100.68,101.23,101.47,101.7,101.98,102.2,102.48,102.73,103.47,108.16,2600
102.74,104.36,105.24,106.21,106.7,107.94,108.78,109.88,110.86,112.39,118.91,59.98,100.68,101.23,101.47,101.7,101.98,102.2,102.48,102.73,103.47,108.16,2610
102.74,104.42,105.28,106.21,106.7,107.94,108.78,109.88,110.86,112.39,118.91,59.98,100.68,101.23,101.47,101.7,101.98,102.2,102.48,102.73,103.47,108.16,2620
102.74,104.42,105.28,106.21,106.88,107.99,108.78,110.01,110.86,112.39,118.91,59.98,100.68,101.23,101.47,101.7,101.98,102.2,102.48,102.73,103.47,108.16,2630
102.74,104.42,105.28,106.21,106.88,107.99,108.78,110.01,110.86,112.39,118.91,59.98,100.68,101.23,101.47,101.7,101.98,102.2,102.48,102.73,103.47,108.16,2640
102.74,104.42,105.35,106.23,106.92,107.99,108.78,110.01,110.95,112.88,118.91,59.98,100.68,101.23,101.47,101.7,101.98,102.2,102.48,102.73,103.47,108.16,2650
102.74,104.42,105.35,106.23,106.92,107.99,108.78,110.01,110.95,112.88,118.91,59.98,100.68,101.23,101.47,101.7,101.98,102.2,102.48,102.73,103.47,108.16,2660
102.74,104.42,105.35,106.23,106.93,108.1,108.83,110.03,111.08,112.88,118.91,59.98,100.68,101.23,101.47,101.7,101.98,102.2,102.48,102.73,103.47,108.16,2670
102.74,104.44,105.35,106.23,106.93,108.1,108.83,110.03,111.08,112.88,118.91,59.98,100.68,101.23,101.47,101.7,102.03,102.2,102.48,102.73,103.47,108.16,2680
102.74,104.44,105.35,106.24,107.13,108.1,108.99,110.03,111.08,112.88,118.91,59.98,100.71,101.23,101.53,101.7,102.03,102.2,102.48,102.73,103.47,108.16,2690
102.74,104.44,105.35,106.3,107.18,108.1,109.29,110.06,111.11,112.88,118.91,59.98,100.71,101.23,101.53,101.7,102.03,102.2,102.48,102.73,103.47,108.16,2700
102.74,104.44,105.35,106.3,107.18,108.1,109.29,110.06,111.11,112.88,118.91,59.98,100.78,101.23,101.53,101.7,102.03,102.2,102.48,102.73,103.47,108.16,2710
102.74,104.44,105.35,106.3,107.2,108.24,109.38,110.13,111.11,112.88,118.91,59.98,100.78,101.23,101.53,101.7,102.03,102.2,102.48,102.73,103.47,108.16,2720
102.74,104.44,105.35,106.3,107.2,108.24,109.38,110.13,111.11,112.88,118.91,59.98,100.78,101.23,101.53,101.7,102.03,102.2,102.48,102.73,103.47,108.16,2730
102.74,104.44,105.35,106.3,107.2,108.24,109.38,110.13,111.11,112.88,118.91,59.98,100.78,101.23,101.53,101.7,102.03,102.2,102.48,102.73,103.47,108.16,2740
102.74,104.44,105.35,106.3,107.2,108.24,109.38,110.13,111.11,112.88,118.91,59.98,100.78,101.23,101.53,101.7,102.03,102.2,102.48,102.73,103.47,108.16,2750
102.74,104.44,105.35,106.3,107.23,108.24,109.38,110.13,111.11,112.88,118.91,59.98,100.78,101.23,101.53,101.7,102.03,102.22,102.5,102.78,103.47,108.16,2760
102.74,104.44,105.35,106.3,107.23,108.24,109.38,110.13,111.11,112.88,118.91,59.98,100.78,101.23,101.53,101.7,102.03,102.22,102.5,102.78,103.47,108.16,2770
102.74,104.44,105.35,106.3,107.23,108.24,109.38,110.13,111.11,112.88,118.91,59.98,100.78,101.23,101.53,101.7,102.03,102.22,102.5,102.78,103.47,108.16,2780
102.74,104.44,105.35,106.3,107.32,108.32,109.43,110.13,111.11,112.88,118.91,59.98,100.79,101.23,101.53,101.7,102.03,102.22,102.5,102.78,103.47,108.16,2790
102.74,104.44,105.35,106.3,107.36,108.32,109.43,110.13,111.11,113.06,118.91,59.98,100.79,101.23,101.53,101.7,102.03,102.22,102.5,102.78,103.47,108.16,2800
102.74,104.67,105.35,106.3,107.36,108.32,109.43,110.13,111.11,113.06,118.91,59.98,100.79,101.23,101.53,101.73,102.04,102.23,102.51,102.84,103.57,108.16,2810
102.74,104.67,105.35,106.3,107.36,108.32,109.43,110.13,111.11,113.06,118.91,59.98,100.79,101.23,101.53,101.73,102.04,102.23,102.51,102.84,103.57,108.16,2820
102.74,104.67,105.35,106.3,107.36,108.32,109.43,110.13,111.11,113.06,118.91,59.98,100.79,101.23,101.53,101.73,102.04,102.25,102.53,102.84,103.57,108.16,2830
102.74,104.67,105.35,106.3,107.5,108.32,109.58,110.15,111.11,113.06,118.91,59.98,100.79,101.23,101.53,101.73,102.04,102.25,102.53,102.84,103.57,108.16,2840
102.74,104.67,105.35,106.3,107.58,108.32,109.58,110.15,111.11,113.06,118.91,59.98,100.79,101.23,101.53,101.73,102.04,102.25,102.53,102.84,103.57,108.16,2850
102.74,104.67,105.55,106.32,107.63,108.33,109.58,110.15,111.11,113.06,118.91,59.98,100.79,101.23,101.53,101.73,102.04,102.25,102.53,102.84,103.57,108.16,2860
102.74,104.67,105.58,106.53,107.63,108.34,109.58,110.15,111.11,113.06,118.91,59.98,100.79,101.24,101.55,101.86,102.1,102.28,102.57,103.03,103.68,108.16,2870
102.74,104.67,105.58,106.54,107.66,108.62,109.63,110.27,111.18,113.06,118.91,59.98,100.79,101.24,101.55,101.86,102.1,102.28,102.57,103.03,103.68,108.16,2880
102.74,104.67,105.58,106.54,107.66,108.62,109.63,110.27,111.18,113.06,118.91,59.98,100.88,101.24,101.59,101.86,102.13,102.33,102.64,103.17,104.0,108.16,2890
102.74,104.67,105.58,106.54,107.83,108.64,109.67,110.3,111.21,113.06,118.91,59.98,100.88,101.24,101.59,101.86,102.13,102.33,102.64,103.17,104.0,108.16,2900
102.74,104.67,105.58,106.54,107.83,108.64,109.67,110.3,111.21,113.06,118.91,59.98,100.88,101.24,101.59,101.86,102.13,102.33,102.64,103.17,104.0,108.16,2910
102.74,104.67,105.73,106.54,107.83,108.66,109.67,110.3,111.21,113.06,118.91,59.98,100.88,101.24,101.59,101.86,102.13,102.33,102.64,103.18,104.16,108.16,2920
102.74,104.67,105.73,106.54,107.83,108.69,109.67,110.47,111.21,113.06,118.91,59.98,100.88,101.24,101.59,101.86,102.13,102.33,102.64,103.18,104.16,108.16,2930
102.74,104.67,105.73,106.54,107.83,108.69,109.67,110.47,111.21,113.06,118.91,59.98,100.88,101.24,101.59,101.86,102.13,102.33,102.64,103.18,104.16,108.16,2940
102.74,104.67,105.73,106.54,107.83,108.69,109.67,110.47,111.21,113.06,118.91,59.98,100.88,101.24,101.59,101.87,102.14,102.35,102.64,103.18,104.16,108.16,2950
102.74,104.8,105.78,106.54,107.83,108.69,109.67,110.47,111.21,113.14,118.91,59.98,100.88,101.24,101.59,101.87,102.14,102.35,102.64,103.18,104.16,108.16,2960
102.74,104.8,105.85,106.69,107.83,108.69,109.67,110.47,111.21,113.14,118.91,59.98,100.88,101.24,101.59,101.87,102.14,102.35,102.64,103.18,104.16,108.16,2970
102.74,104.8,105.85,106.69,107.83,108.69,109.67,110.47,111.21,113.14,118.91,59.98,100.88,101.24,101.59,101.87,102.14,102.35,102.64,103.18,104.16,108.16,2980
102.74,104.8,105.85,106.69,107.83,108.69,109.67,110.47,111.42,113.38,118.91,59.98,100.88,101.24,101.59,101.88,102.14,102.35,102.64,103.18,104.16,108.16,2990
